id_mutation,date_mutation,code_type_local,code_commune,surface_terrain,surface_reelle_bati,nombre_pieces_principales,valeur_fonciere,latitude,longitude,nombre_lots,Prix_m2,Year,Month,prix_m2_moy_surf_habit,prix_m2_moy_terrain
2021-140088,2021-01-04,2.0,13204,0.0,54.0,2.0,145000.0,43.306456,5.395921,2,2685.185185185185,2021,1,2721.7173060895752,12027.867705044877
2021-140089,2021-01-05,2.0,13204,0.0,72.0,3.0,177000.0,43.300456,5.400364,1,2458.3333333333335,2021,1,2721.7173060895752,12027.867705044877
2021-140094,2021-01-05,2.0,13204,0.0,84.0,2.0,218000.0,43.300533,5.390567,2,2595.2380952380954,2021,1,2721.7173060895752,12027.867705044877
2021-140097,2021-01-05,2.0,13204,0.0,65.0,4.0,130000.0,43.301224,5.403618,1,2000.0,2021,1,2721.7173060895752,12027.867705044877
2021-140100,2021-01-06,2.0,13204,0.0,69.0,4.0,146000.0,43.307413,5.407011,1,2115.942028985507,2021,1,2721.7173060895752,12027.867705044877
2021-140107,2021-01-04,2.0,13204,0.0,67.0,3.0,125400.0,43.29703,5.401388,2,1871.641791044776,2021,1,2721.7173060895752,12027.867705044877
2021-140108,2021-01-14,2.0,13204,0.0,31.0,1.0,79000.0,43.30018,5.403645,2,2548.3870967741937,2021,1,2721.7173060895752,12027.867705044877
2021-140111,2021-01-11,2.0,13204,0.0,31.0,1.0,86000.0,43.302586,5.398823,2,2774.1935483870966,2021,1,2721.7173060895752,12027.867705044877
2021-140114,2021-01-08,2.0,13204,0.0,43.0,2.0,109150.0,43.307432,5.401033,2,2538.3720930232557,2021,1,2721.7173060895752,12027.867705044877
2021-140121,2021-01-12,2.0,13204,0.0,46.0,2.0,129000.0,43.313048,5.403615,1,2804.3478260869565,2021,1,2721.7173060895752,12027.867705044877
2021-140122,2021-01-06,2.0,13204,0.0,186.0,7.0,300000.0,43.301723,5.406205,1,1612.9032258064517,2021,1,2721.7173060895752,12027.867705044877
2021-140142,2021-01-07,2.0,13204,0.0,47.0,2.0,156800.0,43.31241,5.402618,1,3336.1702127659573,2021,1,2721.7173060895752,12027.867705044877
2021-140143,2021-01-07,2.0,13204,106.0,60.0,3.0,266250.0,43.311274,5.393972,0,4437.5,2021,1,2721.7173060895752,12027.867705044877
2021-140144,2021-01-07,2.0,13204,0.0,56.0,2.0,178000.0,43.304105,5.402404,1,3178.5714285714284,2021,1,2721.7173060895752,12027.867705044877
2021-140159,2021-01-08,2.0,13204,0.0,74.0,3.0,115000.0,43.311538,5.403286,1,1554.054054054054,2021,1,2721.7173060895752,12027.867705044877
2021-140161,2021-01-19,2.0,13204,0.0,55.0,3.0,142000.0,43.298421,5.397306,2,2581.818181818182,2021,1,2721.7173060895752,12027.867705044877
2021-140165,2021-01-19,2.0,13204,0.0,63.0,3.0,160000.0,43.306627,5.394306,1,2539.6825396825398,2021,1,2721.7173060895752,12027.867705044877
2021-140166,2021-01-18,2.0,13204,0.0,87.0,3.0,246850.0,43.303531,5.398016,2,2837.3563218390805,2021,1,2721.7173060895752,12027.867705044877
2021-140168,2021-01-15,2.0,13204,0.0,50.0,2.0,113500.0,43.309513,5.400309,1,2270.0,2021,1,2721.7173060895752,12027.867705044877
2021-140177,2021-01-18,2.0,13204,0.0,35.0,2.0,94000.0,43.306567,5.399355,1,2685.714285714286,2021,1,2721.7173060895752,12027.867705044877
2021-140185,2021-01-18,2.0,13204,0.0,45.0,2.0,140000.0,43.303618,5.404565,1,3111.1111111111113,2021,1,2721.7173060895752,12027.867705044877
2021-140206,2021-01-04,1.0,13204,110.0,90.0,4.0,190000.0,43.312496,5.39821,0,2111.1111111111113,2021,1,2721.7173060895752,12027.867705044877
2021-140208,2021-01-13,2.0,13204,0.0,34.0,2.0,70000.0,43.302074,5.404006,1,2058.823529411765,2021,1,2721.7173060895752,12027.867705044877
2021-140218,2021-01-19,2.0,13204,0.0,39.0,2.0,87000.0,43.297288,5.404929,2,2230.769230769231,2021,1,2721.7173060895752,12027.867705044877
2021-140223,2021-01-25,2.0,13204,0.0,71.0,3.0,189000.0,43.303645,5.399945,2,2661.9718309859154,2021,1,2721.7173060895752,12027.867705044877
2021-140231,2021-01-18,2.0,13204,0.0,61.0,3.0,189000.0,43.301651,5.393854,2,3098.3606557377047,2021,1,2721.7173060895752,12027.867705044877
2021-140233,2021-01-21,2.0,13204,0.0,31.0,2.0,80000.0,43.310166,5.405748,2,2580.6451612903224,2021,1,2721.7173060895752,12027.867705044877
2021-140236,2021-01-25,2.0,13204,0.0,75.0,3.0,235000.0,43.298366,5.399035,2,3133.3333333333335,2021,1,2721.7173060895752,12027.867705044877
2021-140239,2021-01-05,2.0,13204,0.0,45.0,2.0,119999.0,43.310933,5.393831,1,2666.6444444444446,2021,1,2721.7173060895752,12027.867705044877
2021-140241,2021-01-22,2.0,13204,0.0,60.0,3.0,184000.0,43.302117,5.402836,1,3066.6666666666665,2021,1,2721.7173060895752,12027.867705044877
2021-140242,2021-01-21,2.0,13204,0.0,65.0,4.0,110000.0,43.310427,5.401142,2,1692.3076923076924,2021,1,2721.7173060895752,12027.867705044877
2021-140247,2021-01-08,2.0,13204,0.0,40.0,2.0,71500.0,43.307746,5.40269,1,1787.5,2021,1,2721.7173060895752,12027.867705044877
2021-140249,2021-01-18,2.0,13204,0.0,63.0,3.0,112400.0,43.311357,5.395879,2,1784.126984126984,2021,1,2721.7173060895752,12027.867705044877
2021-140253,2021-01-12,2.0,13204,0.0,61.0,3.0,205000.0,43.307525,5.395294,1,3360.655737704918,2021,1,2721.7173060895752,12027.867705044877
2021-140259,2021-01-25,2.0,13204,0.0,60.0,4.0,120000.0,43.305962,5.409064,1,2000.0,2021,1,2721.7173060895752,12027.867705044877
2021-140261,2021-01-18,2.0,13204,0.0,64.0,4.0,115000.0,43.306137,5.402203,1,1796.875,2021,1,2721.7173060895752,12027.867705044877
2021-140267,2021-01-15,2.0,13204,0.0,54.0,3.0,134450.0,43.310427,5.401142,2,2489.814814814815,2021,1,2721.7173060895752,12027.867705044877
2021-140278,2021-01-12,2.0,13204,0.0,30.0,1.0,60000.0,43.305908,5.398898,2,2000.0,2021,1,2721.7173060895752,12027.867705044877
2021-140282,2021-01-07,2.0,13204,0.0,61.0,3.0,168150.0,43.307413,5.407011,1,2756.55737704918,2021,1,2721.7173060895752,12027.867705044877
2021-140290,2021-01-22,2.0,13204,0.0,72.0,3.0,289000.0,43.30005,5.396623,2,4013.8888888888887,2021,1,2721.7173060895752,12027.867705044877
2021-140292,2021-01-13,2.0,13204,0.0,60.0,3.0,217000.0,43.307525,5.395294,1,3616.6666666666665,2021,1,2721.7173060895752,12027.867705044877
2021-140297,2021-01-12,2.0,13204,0.0,66.0,3.0,252000.0,43.310763,5.40481,1,3818.181818181818,2021,1,2721.7173060895752,12027.867705044877
2021-140313,2021-01-28,2.0,13204,0.0,49.0,2.0,81000.0,43.30764,5.39633,2,1653.061224489796,2021,1,2721.7173060895752,12027.867705044877
2021-140326,2021-01-14,2.0,13204,0.0,40.0,2.0,117000.0,43.299383,5.404193,1,2925.0,2021,1,2721.7173060895752,12027.867705044877
2021-140337,2021-01-15,2.0,13204,0.0,80.0,4.0,160000.0,43.302168,5.399778,2,2000.0,2021,1,2721.7173060895752,12027.867705044877
2021-140342,2021-02-01,2.0,13204,0.0,82.0,3.0,275200.0,43.302468,5.399764,1,3356.0975609756097,2021,2,2721.7173060895752,12027.867705044877
2021-140347,2021-01-14,2.0,13204,0.0,26.0,1.0,68000.0,43.304555,5.401678,2,2615.3846153846152,2021,1,2721.7173060895752,12027.867705044877
2021-140351,2021-01-29,2.0,13204,0.0,95.0,4.0,294625.0,43.30066,5.398162,1,3101.315789473684,2021,1,2721.7173060895752,12027.867705044877
2021-140354,2021-01-28,2.0,13204,0.0,50.0,2.0,85000.0,43.310639,5.397802,1,1700.0,2021,1,2721.7173060895752,12027.867705044877
2021-140357,2021-01-08,2.0,13204,0.0,61.0,4.0,92000.0,43.314681,5.397258,2,1508.1967213114754,2021,1,2721.7173060895752,12027.867705044877
2021-140361,2021-01-28,2.0,13204,0.0,104.0,5.0,264300.0,43.311538,5.403286,2,2541.346153846154,2021,1,2721.7173060895752,12027.867705044877
2021-140368,2021-02-01,2.0,13204,0.0,100.0,4.0,368000.0,43.300291,5.396396,1,3680.0,2021,2,2721.7173060895752,12027.867705044877
2021-140369,2021-01-28,2.0,13204,0.0,93.0,4.0,243000.0,43.315278,5.39845,1,2612.9032258064517,2021,1,2721.7173060895752,12027.867705044877
2021-140370,2021-01-18,2.0,13204,0.0,88.0,3.0,228000.0,43.301054,5.399803,1,2590.909090909091,2021,1,2721.7173060895752,12027.867705044877
2021-140378,2021-01-29,2.0,13204,0.0,66.0,3.0,173000.0,43.3098,5.393465,1,2621.212121212121,2021,1,2721.7173060895752,12027.867705044877
2021-140394,2021-01-29,2.0,13204,0.0,53.0,2.0,162000.0,43.307824,5.396465,2,3056.603773584906,2021,1,2721.7173060895752,12027.867705044877
2021-140398,2021-01-27,2.0,13204,0.0,62.0,3.0,186000.0,43.311111,5.408305,1,3000.0,2021,1,2721.7173060895752,12027.867705044877
2021-140400,2021-01-25,2.0,13204,0.0,40.0,2.0,107800.0,43.306669,5.398568,2,2695.0,2021,1,2721.7173060895752,12027.867705044877
2021-140403,2021-01-12,1.0,13204,61.0,96.0,3.0,308500.0,43.30532,5.401748,0,3213.5416666666665,2021,1,2721.7173060895752,12027.867705044877
2021-140411,2021-01-08,2.0,13204,0.0,101.0,4.0,279703.0,43.301723,5.406205,1,2769.3366336633662,2021,1,2721.7173060895752,12027.867705044877
2021-140414,2021-02-01,2.0,13204,0.0,86.0,3.0,264000.0,43.301723,5.406205,1,3069.767441860465,2021,2,2721.7173060895752,12027.867705044877
2021-140419,2021-01-14,2.0,13204,0.0,79.0,3.0,147000.0,43.30682,5.409423,2,1860.759493670886,2021,1,2721.7173060895752,12027.867705044877
2021-140421,2021-01-20,2.0,13204,0.0,73.0,3.0,189000.0,43.306942,5.395792,2,2589.041095890411,2021,1,2721.7173060895752,12027.867705044877
2021-140424,2021-02-04,2.0,13204,0.0,64.0,4.0,159500.0,43.296285,5.402742,2,2492.1875,2021,2,2721.7173060895752,12027.867705044877
2021-140433,2021-01-25,2.0,13204,0.0,60.0,3.0,110000.0,43.315226,5.396611,1,1833.3333333333333,2021,1,2721.7173060895752,12027.867705044877
2021-140448,2021-01-26,2.0,13204,0.0,10.0,1.0,35000.0,43.297071,5.408193,1,3500.0,2021,1,2721.7173060895752,12027.867705044877
2021-140457,2021-02-03,2.0,13204,0.0,43.0,2.0,110000.0,43.300556,5.400252,1,2558.139534883721,2021,2,2721.7173060895752,12027.867705044877
2021-140462,2021-01-29,1.0,13204,0.0,18.0,1.0,63000.0,43.308694,5.406158,1,3500.0,2021,1,2721.7173060895752,12027.867705044877
2021-140486,2021-01-22,2.0,13204,0.0,74.0,3.0,124080.0,43.300351,5.398931,1,1676.7567567567567,2021,1,2721.7173060895752,12027.867705044877
2021-140495,2021-01-15,2.0,13204,0.0,66.0,3.0,106000.0,43.301906,5.401044,1,1606.060606060606,2021,1,2721.7173060895752,12027.867705044877
2021-140502,2021-01-25,1.0,13204,205.0,110.0,4.0,375000.0,43.31289,5.397657,0,3409.090909090909,2021,1,2721.7173060895752,12027.867705044877
2021-140505,2021-01-28,2.0,13204,0.0,47.0,2.0,98500.0,43.310226,5.404135,1,2095.744680851064,2021,1,2721.7173060895752,12027.867705044877
2021-140506,2021-01-25,2.0,13204,0.0,38.0,3.0,129000.0,43.312721,5.400846,1,3394.7368421052633,2021,1,2721.7173060895752,12027.867705044877
2021-140508,2021-02-09,2.0,13204,0.0,80.0,3.0,212550.0,43.301443,5.402751,1,2656.875,2021,2,2721.7173060895752,12027.867705044877
2021-140521,2021-01-18,2.0,13204,0.0,57.0,3.0,125200.0,43.310745,5.401515,1,2196.4912280701756,2021,1,2721.7173060895752,12027.867705044877
2021-140526,2021-02-05,2.0,13204,0.0,62.0,3.0,160000.0,43.299353,5.390402,2,2580.6451612903224,2021,2,2721.7173060895752,12027.867705044877
2021-140528,2021-01-28,2.0,13204,0.0,49.0,2.0,109000.0,43.299412,5.400432,2,2224.4897959183672,2021,1,2721.7173060895752,12027.867705044877
2021-140529,2021-02-05,2.0,13204,0.0,48.0,2.0,85000.0,43.313849,5.402941,2,1770.8333333333333,2021,2,2721.7173060895752,12027.867705044877
2021-140546,2021-02-15,2.0,13204,0.0,72.0,3.0,117000.0,43.310562,5.407307,1,1625.0,2021,2,2721.7173060895752,12027.867705044877
2021-140551,2021-02-05,2.0,13204,0.0,46.0,2.0,100000.0,43.314056,5.394071,1,2173.913043478261,2021,2,2721.7173060895752,12027.867705044877
2021-140555,2021-02-11,2.0,13204,0.0,49.0,2.0,143900.0,43.307428,5.393038,2,2936.734693877551,2021,2,2721.7173060895752,12027.867705044877
2021-140571,2021-02-08,2.0,13204,0.0,50.0,3.0,149000.0,43.300743,5.397848,1,2980.0,2021,2,2721.7173060895752,12027.867705044877
2021-140572,2021-02-12,2.0,13204,0.0,81.0,3.0,329000.0,43.298723,5.408809,3,4061.7283950617284,2021,2,2721.7173060895752,12027.867705044877
2021-140580,2021-01-26,2.0,13204,0.0,87.0,3.0,228000.0,43.307011,5.403145,1,2620.689655172414,2021,1,2721.7173060895752,12027.867705044877
2021-140582,2021-01-22,2.0,13204,0.0,95.0,5.0,283000.0,43.301637,5.397744,1,2978.9473684210525,2021,1,2721.7173060895752,12027.867705044877
2021-140583,2021-02-05,2.0,13204,0.0,40.0,2.0,110000.0,43.308766,5.400711,1,2750.0,2021,2,2721.7173060895752,12027.867705044877
2021-140584,2021-02-01,2.0,13204,0.0,39.0,2.0,134000.0,43.312203,5.396493,1,3435.897435897436,2021,2,2721.7173060895752,12027.867705044877
2021-140596,2021-02-11,2.0,13204,0.0,34.0,2.0,74000.0,43.313617,5.403134,2,2176.470588235294,2021,2,2721.7173060895752,12027.867705044877
2021-140607,2021-02-11,2.0,13204,0.0,44.0,2.0,118000.0,43.308658,5.407849,2,2681.818181818182,2021,2,2721.7173060895752,12027.867705044877
2021-140609,2021-01-21,2.0,13204,0.0,85.0,3.0,173000.0,43.300784,5.400451,2,2035.2941176470588,2021,1,2721.7173060895752,12027.867705044877
2021-140610,2021-02-02,2.0,13204,0.0,32.0,1.0,82000.0,43.310774,5.395525,1,2562.5,2021,2,2721.7173060895752,12027.867705044877
