id_mutation,date_mutation,code_type_local,code_commune,surface_terrain,surface_reelle_bati,nombre_pieces_principales,nature_culture,valeur_fonciere,latitude,longitude,nombre_lots,numero_disposition,code_departement,Nombre_unite,Nombre_dependance,Year,num_trimestre,quarter,geometry,index_right,epci_name,iris_code,iris_name,iris_name_l,Prix_m2,Month,Pris_m2_moy_iris,std,Vente_par_iris,Vente_par_iris_tri,N_logements,N_res_ppale,N_res_second,N_vacant,N_maisons,N_apparts,N_proprietaire,N_locataire,DISP_MED19,Arrondissement,dist_metro
2018-120073,2018-01-10,1.0,13214,500.0,55.0,3.0,sols,255000.0,43.349801,5.407448,0,1,13,1,0,2018,1,2018_Q1,POINT (5.407448 43.349801),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,4636.363636363636,1,3432.788551317963,1267.0790497586252,105,3,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.04596585935199437
2018-120092,2018-01-17,1.0,13214,499.0,51.0,2.0,sols,200000.0,43.344444,5.411174,0,1,13,1,0,2018,1,2018_Q1,POINT (5.411174 43.344444),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,3921.5686274509803,1,3432.788551317963,1267.0790497586252,105,3,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.046053788794394514
2018-120624,2018-02-12,1.0,13214,403.0,77.0,3.0,sols,254710.0,43.342762,5.407605,0,1,13,1,0,2018,1,2018_Q1,POINT (5.407605 43.342762),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,3307.9220779220777,2,3432.788551317963,1267.0790497586252,105,3,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.04212311946500164
2018-124590,2018-10-24,1.0,13214,860.0,170.0,5.0,sols,310000.0,43.348507,5.409981,0,1,13,1,0,2018,4,2018_Q4,POINT (5.409981 43.348507),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,1823.5294117647059,10,1759.2258014316837,187.72286230892183,105,4,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.047230605991182104
2019-130623,2019-04-10,1.0,13214,451.0,90.0,3.0,sols,288000.0,43.349847,5.41065,0,1,13,1,0,2019,2,2019_Q2,POINT (5.41065 43.349847),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,3200.0,4,2985.5396246222595,1971.495988431491,105,11,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.04855225097636206
2019-131172,2019-05-24,1.0,13214,314.0,56.0,2.0,sols,274000.0,43.34513,5.411525,0,1,13,1,0,2019,2,2019_Q2,POINT (5.411525 43.34513),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,4892.857142857143,5,2985.5396246222595,1971.495988431491,105,11,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.04670252371562234
2019-131188,2019-05-29,1.0,13214,673.0,88.0,5.0,sols,200000.0,43.341575,5.406744,0,1,13,1,0,2019,2,2019_Q2,POINT (5.406744 43.341575),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,2272.7272727272725,5,2985.5396246222595,1971.495988431491,105,11,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.040783773277637
2019-131401,2019-06-11,1.0,13214,524.0,94.0,3.0,sols,300000.0,43.348702,5.407915,0,1,13,1,0,2019,2,2019_Q2,POINT (5.407915 43.348702),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,3191.4893617021276,6,2985.5396246222595,1971.495988431491,105,11,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.04566946809036594
2019-132775,2019-08-20,1.0,13214,442.0,56.0,3.0,sols,170000.0,43.33598,5.407957,0,1,13,1,0,2019,3,2019_Q3,POINT (5.407957 43.33598),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,3035.714285714286,8,2634.4457719178167,1214.3598600652267,105,10,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.03945474054294988
2019-133001,2019-09-10,1.0,13214,671.0,72.0,4.0,sols,213390.0,43.349643,5.406283,0,1,13,1,0,2019,3,2019_Q3,POINT (5.406283 43.349643),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,2963.75,9,2634.4457719178167,1214.3598600652267,105,10,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.044955689518978874
2019-133080,2019-09-06,1.0,13214,673.0,88.0,5.0,sols,245000.0,43.341575,5.406744,0,1,13,1,0,2019,3,2019_Q3,POINT (5.406744 43.341575),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,2784.090909090909,9,2634.4457719178167,1214.3598600652267,105,10,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.040783773277637
