id,id_station,nom,desserte,gid,last_updat,last_upd_1,geometry,index_right,year,reg_code,reg_name,dep_code,dep_name,arrdep_code,arrdep_name,ze2020_code,ze2020_name,bv2012_code,bv2012_name,epci_code,epci_name,ept_code,ept_name,com_code,com_name,com_arm_cod,com_arm_nam,iris_code,iris_name,iris_name_u,iris_name_l,iris_area_c,iris_type,iris_grd_qu,iris_in_ctu,ze2010_code,ze2010_name,Longitude,Latitude
79849984335,50824,Mermoz-Pinel,"30185,30186",230,2023-03-27 02:31:26,2023-03-27 06:01:02,POINT (4.886982714640664 45.73035966543131),49062,2022,['84'],['Auvergne-RhÃ´ne-Alpes'],['69'],['RhÃ´ne'],['691'],['Lyon'],,,['69123'],['Lyon'],['200046977'],['MÃ©tropole de Lyon'],,,['69123'],['Lyon'],['69388'],['Lyon 8e Arrondissement'],['693880402'],['La TrinitÃ©-Mermoz'],LA TRINITÃ-MERMOZ,la trinitÃ©-mermoz,FXX,iris d'habitat,Mairie-Mermoz,Non,,,4.886982714640664,45.73035966543131
79840085288,50621,Laënnec,30187,278,2023-03-27 02:31:26,2023-03-27 06:01:02,POINT (4.886115995815088 45.73896130311666),21836,2022,['84'],['Auvergne-RhÃ´ne-Alpes'],['69'],['RhÃ´ne'],['691'],['Lyon'],,,['69123'],['Lyon'],['200046977'],['MÃ©tropole de Lyon'],,,['69123'],['Lyon'],['69388'],['Lyon 8e Arrondissement'],['693880302'],['Rockefeller-La Buire'],ROCKEFELLER-LA BUIRE,rockefeller-la buire,FXX,iris d'habitat,La Buire-Bataille,Non,,,4.886115995815088,45.73896130311666
79845585223,50622,Laënnec,30187,279,2023-03-27 02:31:26,2023-03-27 06:01:02,POINT (4.886785131130891 45.73836263416282),21836,2022,['84'],['Auvergne-RhÃ´ne-Alpes'],['69'],['RhÃ´ne'],['691'],['Lyon'],,,['69123'],['Lyon'],['200046977'],['MÃ©tropole de Lyon'],,,['69123'],['Lyon'],['69388'],['Lyon 8e Arrondissement'],['693880302'],['Rockefeller-La Buire'],ROCKEFELLER-LA BUIRE,rockefeller-la buire,FXX,iris d'habitat,La Buire-Bataille,Non,,,4.886785131130891,45.73836263416282
79839085276,50623,Laënnec,30188,280,2023-03-27 02:31:26,2023-03-27 06:01:02,POINT (4.885979758977789 45.738850891442176),21836,2022,['84'],['Auvergne-RhÃ´ne-Alpes'],['69'],['RhÃ´ne'],['691'],['Lyon'],,,['69123'],['Lyon'],['200046977'],['MÃ©tropole de Lyon'],,,['69123'],['Lyon'],['69388'],['Lyon 8e Arrondissement'],['693880302'],['Rockefeller-La Buire'],ROCKEFELLER-LA BUIRE,rockefeller-la buire,FXX,iris d'habitat,La Buire-Bataille,Non,,,4.885979758977789,45.738850891442176
79578986646,51811,Garibaldi,"30445,30446",124,2023-03-27 02:31:26,2023-03-27 06:01:02,POINT (4.853133705854014 45.75192461569728),11259,2022,['84'],['Auvergne-RhÃ´ne-Alpes'],['69'],['RhÃ´ne'],['691'],['Lyon'],,,['69123'],['Lyon'],['200046977'],['MÃ©tropole de Lyon'],,,['69123'],['Lyon'],['69383'],['Lyon 3e Arrondissement'],['693830204'],['Saint-Amour'],SAINT-AMOUR,saint-amour,FXX,iris d'habitat,Voltaire-Saint-Amour,Non,,,4.853133705854014,45.75192461569728
79581486655,51812,Garibaldi,"30445,30446",247,2023-03-27 02:31:26,2023-03-27 06:01:02,POINT (4.85346060990657 45.75200450821354),11259,2022,['84'],['Auvergne-RhÃ´ne-Alpes'],['69'],['RhÃ´ne'],['691'],['Lyon'],,,['69123'],['Lyon'],['200046977'],['MÃ©tropole de Lyon'],,,['69123'],['Lyon'],['69383'],['Lyon 3e Arrondissement'],['693830204'],['Saint-Amour'],SAINT-AMOUR,saint-amour,FXX,iris d'habitat,Voltaire-Saint-Amour,Non,,,4.85346060990657,45.75200450821354
79587686600,51813,Garibaldi,"30445,30446",248,2023-03-27 02:31:26,2023-03-27 06:01:02,POINT (4.854240212027745 45.75148790746971),24757,2022,['84'],['Auvergne-RhÃ´ne-Alpes'],['69'],['RhÃ´ne'],['691'],['Lyon'],,,['69123'],['Lyon'],['200046977'],['MÃ©tropole de Lyon'],,,['69123'],['Lyon'],['69383'],['Lyon 3e Arrondissement'],['693830302'],['Danton-Bir Hakeim'],DANTON-BIR HAKEIM,danton-bir hakeim,FXX,iris d'habitat,Part Dieu-Bir Hakeim,Non,,,4.854240212027745,45.75148790746971
79577986626,51814,Garibaldi,"30445,30446",249,2023-03-27 02:31:26,2023-03-27 06:01:02,POINT (4.85300222668843 45.751754379762936),43422,2022,['84'],['Auvergne-RhÃ´ne-Alpes'],['69'],['RhÃ´ne'],['691'],['Lyon'],,,['69123'],['Lyon'],['200046977'],['MÃ©tropole de Lyon'],,,['69123'],['Lyon'],['69387'],['Lyon 7e Arrondissement'],['693870502'],['Stalingrad'],STALINGRAD,stalingrad,FXX,iris d'habitat,Stalingrad-Lamothe,Non,,,4.85300222668843,45.751754379762936
79581686591,51815,Garibaldi,"30445,30446",250,2023-03-27 02:31:26,2023-03-27 06:01:02,POINT (4.853465528914323 45.75142615941764),43422,2022,['84'],['Auvergne-RhÃ´ne-Alpes'],['69'],['RhÃ´ne'],['691'],['Lyon'],,,['69123'],['Lyon'],['200046977'],['MÃ©tropole de Lyon'],,,['69123'],['Lyon'],['69387'],['Lyon 7e Arrondissement'],['693870502'],['Stalingrad'],STALINGRAD,stalingrad,FXX,iris d'habitat,Stalingrad-Lamothe,Non,,,4.853465528914323,45.75142615941764
79587086585,51816,Garibaldi,"30445,30446",251,2023-03-27 02:31:26,2023-03-27 06:01:02,POINT (4.8541511659572 45.75135992697375),49061,2022,['84'],['Auvergne-RhÃ´ne-Alpes'],['69'],['RhÃ´ne'],['691'],['Lyon'],,,['69123'],['Lyon'],['200046977'],['MÃ©tropole de Lyon'],,,['69123'],['Lyon'],['69387'],['Lyon 7e Arrondissement'],['693870501'],['Jules Brunard'],JULES BRUNARD,jules brunard,FXX,iris d'habitat,Stalingrad-Lamothe,Non,,,4.8541511659572,45.75135992697375
