Arrêt,Identifiant Interne,Commune,Nom du réseau,Mode de transport,Date de MAJ,Source,point_geo,Latitude,Longitude,geometry,index_right,year,reg_code,reg_name,dep_code,dep_name,arrdep_code,arrdep_name,ze2020_code,ze2020_name,bv2012_code,bv2012_name,epci_code,epci_name,ept_code,ept_name,com_code,com_name,com_arm_cod,com_arm_nam,iris_code,iris_name,iris_name_u,iris_name_l,iris_area_c,iris_type,iris_grd_qu,iris_in_ctu,ze2010_code,ze2010_name
Air Bel,36743Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.2942625915, 5.4290510711",43.2942625915,5.4290510711,POINT (5.4290510711 43.2942625915),29340,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13212'],['Marseille 12e Arrondissement'],['132120501'],['Saint-Jean du DÃ©sert'],SAINT-JEAN DU DÃSERT,saint-jean du dÃ©sert,FXX,iris d'habitat,Saint-Jean du DÃ©sert,Non,,
Baille,36753Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.2881640293, 5.3919778457",43.2881640293,5.3919778457,POINT (5.3919778457 43.2881640293),12339,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13205'],['Marseille 5e Arrondissement'],['132050304'],['Pauriol-Vertus'],PAURIOL-VERTUS,pauriol-vertus,FXX,iris d'habitat,La Conception,Non,,
Colbert,31748Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.3002979551, 5.3744018034",43.3002979551,5.3744018034,POINT (5.3744018034 43.3002979551),26192,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13202'],['Marseille 2e Arrondissement'],['132020202'],['Les Carmes'],LES CARMES,les carmes,FXX,iris d'habitat,Grands Carmes,Non,,
La Blancarde,27539Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.2966551966, 5.4054801053",43.2966551966,5.4054801053,POINT (5.4054801053 43.2966551966),39907,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13204'],['Marseille 4e Arrondissement'],['132040103'],['Vallier'],VALLIER,vallier,FXX,iris d'habitat,La Blancarde,Non,,
La Grognarde,36956Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.2946641382, 5.4322859532",43.2946641382,5.4322859532,POINT (5.4322859532 43.2946641382),29340,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13212'],['Marseille 12e Arrondissement'],['132120501'],['Saint-Jean du DÃ©sert'],SAINT-JEAN DU DÃSERT,saint-jean du dÃ©sert,FXX,iris d'habitat,Saint-Jean du DÃ©sert,Non,,
Jules Guesde,36944Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.3020002347, 5.3739871015",43.3020002347,5.3739871015,POINT (5.3739871015 43.3020002347),37597,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13202'],['Marseille 2e Arrondissement'],['132020201'],['Montolieu'],MONTOLIEU,montolieu,FXX,iris d'habitat,Grands Carmes,Non,,
Métro Bougainville,11696Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.3214283074, 5.3712837837",43.3214283074,5.3712837837,POINT (5.3712837837 43.3214283074),18365,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13214'],['Marseille 14e Arrondissement'],['132140302'],['Casanova'],CASANOVA,casanova,FXX,iris d'habitat,Le Canet,Non,,
National,37101Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.3015886424, 5.3885309673",43.3015886424,5.3885309673,POINT (5.3885309673 43.3015886424),545,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13201'],['Marseille 1er Arrondissement'],['132010502'],['Longchamp'],LONGCHAMP,longchamp,FXX,iris d'habitat,Saint-Charles,Non,,
Réformés Canebière,11743Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.3001106664, 5.3854728188",43.3001106664,5.3854728188,POINT (5.3854728188 43.3001106664),6750,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13201'],['Marseille 1er Arrondissement'],['132010202'],['Joseph Thierry'],JOSEPH THIERRY,joseph thierry,FXX,iris d'habitat,Chapitre,Non,,
Saint-Barnabé,12168Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.3032399946, 5.4186131602",43.3032399946,5.4186131602,POINT (5.4186131602 43.3032399946),47811,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13212'],['Marseille 12e Arrondissement'],['132120406'],['Gasquy-Hugues-Garlaban'],GASQUY-HUGUES-GARLABAN,gasquy-hugues-garlaban,FXX,iris d'habitat,Saint BarnabÃ©,Non,,
Sadi Carnot,11728Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.2998663424, 5.3712147602",43.2998663424,5.3712147602,POINT (5.3712147602 43.2998663424),26192,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13202'],['Marseille 2e Arrondissement'],['132020202'],['Les Carmes'],LES CARMES,les carmes,FXX,iris d'habitat,Grands Carmes,Non,,
William Booth,18004Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.2926254318, 5.4368787448",43.2926254318,5.4368787448,POINT (5.4368787448 43.2926254318),7078,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13211'],['Marseille 11e Arrondissement'],['132110604'],['Pommeraie-Saint-Jean'],POMMERAIE-SAINT-JEAN,pommeraie-saint-jean,FXX,iris d'habitat,La Pomme,Non,,
Château Blanc,15446Tramway,AUBAGNE,Lignes de l'Agglo,Tramway,2021-09-27,Métropole Aix-Marseille Provence,"43.2817945986, 5.5500528161",43.2817945986,5.5500528161,POINT (5.5500528161 43.2817945986),25126,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],['9312'],['Marseille'],['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13005'],['Aubagne'],['13005'],['Aubagne'],['130050601'],['Longuillar'],LONGUILLAR,longuillar,FXX,iris d'habitat,Grand Quartier 6,Non,,
Gare,32608Tramway,AUBAGNE,Lignes de l'Agglo,Tramway,2021-09-27,Métropole Aix-Marseille Provence,"43.2958721051, 5.5670564545",43.2958721051,5.5670564545,POINT (5.5670564545 43.2958721051),37581,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],['9312'],['Marseille'],['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13005'],['Aubagne'],['13005'],['Aubagne'],['130050102'],['Centre Ville'],CENTRE VILLE,centre ville,FXX,iris d'habitat,Grand Quartier 1,Non,,
Marthin Luther King,23019Tramway,AUBAGNE,Lignes de l'Agglo,Tramway,2021-09-27,Métropole Aix-Marseille Provence,"43.2929693436, 5.5627932435",43.2929693436,5.5627932435,POINT (5.5627932435 43.2929693436),39895,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],['9312'],['Marseille'],['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13005'],['Aubagne'],['13005'],['Aubagne'],['130050402'],"[""Bras d'Or""]",BRAS D'OR,bras d'or,FXX,iris d'habitat,Grand Quartier 4,Non,,
Canebière Capucins,25899Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.2967425328, 5.3789781241",43.2967425328,5.3789781241,POINT (5.3789781241 43.2967425328),544,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13201'],['Marseille 1er Arrondissement'],['132010302'],"[""Gare de l'Est""]",GARE DE L'EST,gare de l'est,FXX,iris d'habitat,Noailles,Non,,
Belsunce Alcazar,36777Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.2984914461, 5.3765961696",43.2984914461,5.3765961696,POINT (5.3765961696 43.2984914461),30433,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13201'],['Marseille 1er Arrondissement'],['132010101'],['La Bourse'],LA BOURSE,la bourse,FXX,iris d'activitÃ©,Belsunce,Non,,
Canebière Garibaldi,11730Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.2979307168, 5.3814788242",43.2979307168,5.3814788242,POINT (5.3814788242 43.2979307168),37596,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13201'],['Marseille 1er Arrondissement'],['132010201'],['Gambetta'],GAMBETTA,gambetta,FXX,iris d'habitat,Chapitre,Non,,
