"Libellé";"Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015";"Codes"
"idBank";"010001868";""
"Dernière mise à jour";"23/12/2022 12:00";""
"Période";"";""
"2022-T3";"134.3";"P"
"2022-T2";"130.8";"A"
"2022-T1";"128.6";"A"
"2021-T4";"127.5";"A"
"2021-T3";"126.2";"A"
"2021-T2";"122.5";"A"
"2021-T1";"120.2";"A"
"2020-T4";"119.3";"A"
"2020-T3";"117.8";"A"
"2020-T2";"115.5";"A"
"2020-T1";"113.9";"A"
"2019-T4";"112.7";"A"
"2019-T3";"112.3";"A"
"2019-T2";"109.8";"A"
"2019-T1";"108.6";"A"
"2018-T4";"108.6";"A"
"2018-T3";"108.6";"A"
"2018-T2";"106.4";"A"
"2018-T1";"105.5";"A"
"2017-T4";"105.2";"A"
"2017-T3";"105.7";"A"
"2017-T2";"103.5";"A"
"2017-T1";"102.5";"A"
