infobulle,nom,ligne,etat,type,en_service,couvert,commune,index_right,year,reg_code,reg_name,dep_code,dep_name,arrdep_code,arrdep_name,ze2020_code,ze2020_name,bv2012_code,bv2012_name,epci_code,epci_name,ept_code,ept_name,com_code,com_name,com_arm_cod,com_arm_nam,iris_code,iris_name,iris_name_u,iris_name_l,iris_area_c,iris_type,iris_grd_qu,iris_in_ctu,ze2010_code,ze2010_name,geometry,Longitude,Latitude
"MIRAIL - UNIVERSITE
Ligne A",MIRAIL - UNIVERSITE,A,Existant,Metro,1993.0,Souterrain,TOULOUSE,29100,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315555402'],['Antonio Machado'],ANTONIO MACHADO,antonio machado,FXX,iris d'habitat,Mirail-UniversitÃ©,Non,,,POINT (1.402001333371861 43.57468748241411),1.402001333371861,43.57468748241411
"CAPITOLE
Ligne A",CAPITOLE,A,Existant,Metro,1993.0,Souterrain,TOULOUSE,17984,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315550102'],['Saint-Rome'],SAINT-ROME,saint-rome,FXX,iris d'habitat,Capitole,Non,,,POINT (1.445032773324277 43.604222531004666),1.445032773324277,43.604222531004666
"JEAN JAURES
Ligne A",JEAN JAURES,A,Existant,Metro,1993.0,Souterrain,TOULOUSE,5001,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315551103'],['Gabriel PÃ©ri'],GABRIEL PÃRI,gabriel pÃ©ri,FXX,iris d'habitat,Saint-Aubin-Dupuy,Non,,,POINT (1.44963186922674 43.606192751039465),1.44963186922674,43.606192751039465
"ARGOULETS
Ligne A",ARGOULETS,A,Existant,Metro,2003.0,Souterrain,TOULOUSE,42025,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315554303'],['Patinoire de la FraternitÃ©'],PATINOIRE DE LA FRATERNITÃ,patinoire de la fraternitÃ©,FXX,iris d'habitat,Juncasse-Argoulets,Non,,,POINT (1.476751454767179 43.624340910857185),1.476751454767179,43.624340910857185
"JEANNE D'ARC
Ligne B",JEANNE D'ARC,B,Existant,Metro,2007.0,Souterrain,TOULOUSE,17985,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315550201'],['Taur'],TAUR,taur,FXX,iris d'habitat,Arnaud Bernard,Non,,,POINT (1.445195328929675 43.60901186063048),1.445195328929675,43.60901186063048
"COMPANS-CAFFARELLI
Ligne B",COMPANS-CAFFARELLI,B,Existant,Metro,2007.0,Souterrain,TOULOUSE,45279,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315550801'],['SÃ©bastopol'],SÃBASTOPOL,sÃ©bastopol,FXX,iris d'habitat,Compans,Non,,,POINT (1.435528989303407 43.61058045984865),1.435528989303407,43.61058045984865
"BORDEROUGE
Ligne B",BORDEROUGE,B,Existant,Metro,2007.0,Souterrain,TOULOUSE,27589,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315554007'],['Borderouge Nord'],BORDEROUGE NORD,borderouge nord,FXX,iris d'habitat,Croix-Daurade,Non,,,POINT (1.452534347790426 43.640523104227434),1.452534347790426,43.640523104227434
"BELLEFONTAINE
Ligne A",BELLEFONTAINE,A,Existant,Metro,1993.0,Souterrain,TOULOUSE,3259,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315555301'],['Ãdouard BouillÃ¨res'],ÃDOUARD BOUILLÃRES,Ã©douard bouillÃ¨res,FXX,iris d'habitat,Reynerie,Non,,,POINT (1.397981844366637 43.56607031965527),1.397981844366637,43.56607031965527
"BAGATELLE
Ligne A",BAGATELLE,A,Existant,Metro,1993.0,Souterrain,TOULOUSE,29660,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315553001'],['Lambert'],LAMBERT,lambert,FXX,iris d'habitat,Faourette,Non,,,POINT (1.412317761019293 43.5800005451905),1.412317761019293,43.5800005451905
"MERMOZ
Ligne A",MERMOZ,A,Existant,Metro,1993.0,Souterrain,TOULOUSE,11946,2022,['76'],['Occitanie'],['31'],['Haute-Garonne'],['313'],['Toulouse'],['7625'],['Toulouse'],['31555'],['Toulouse'],['243100518'],['Toulouse MÃ©tropole'],,,['31555'],['Toulouse'],['31555'],['Toulouse'],['315553101'],['Fontaine Lestang'],FONTAINE LESTANG,fontaine lestang,FXX,iris d'habitat,Fontaine-Lestang,Non,,,POINT (1.415100791196132 43.58343156694219),1.415100791196132,43.58343156694219
