id_mutation,date_mutation,code_type_local,code_commune,surface_terrain,surface_reelle_bati,nombre_pieces_principales,nature_culture,valeur_fonciere,latitude,longitude,nombre_lots,numero_disposition,code_departement,Nombre_unite,Nombre_dependance,Year,num_trimestre,quarter,geometry,index_right,epci_name,iris_code,iris_name,iris_name_l,Prix_m2,Month,Pris_m2_moy_iris,std,Vente_par_iris,Vente_par_iris_tri,N_logements,N_res_ppale,N_res_second,N_vacant,N_maisons,N_apparts,N_proprietaire,N_locataire,DISP_MED19,Ec_maternelle,Ec_elementaire,P19_LOG,P19_RP_SDB,P19_RP_CCCOLL,P19_RP_CCIND,P19_RP_CINDELEC,UU2020,COM,TRIRIS,GRD_QUART,TYP_IRIS,P19_POP1564,P19_POP1524,P19_POP2554,P19_POP5564,P19_ACT1564,P19_CHOM1564,P19_INACT1564,Part_dactifs,Part_chomeurs,Arrondissement,dist_metro
2019-1502078,2019-01-28,1.0,75108,109.0,410.0,7.0,sols,4990000.0,48.878203,2.300369,1,1,75,1,1,2019,1,2019_Q1,POINT (2.300369 48.878203),38047.0,['MÃ©tropole du Grand Paris'],751083002,Faubourg du Roule ,faubourg du roule 2,12170.731707317073,1,9901.167370984294,4010.637603729085,197,13,2332.0,1614.0,530.0,187.0,20.0,2266.0,622.0,822.0,42140,0,2,2371.49005229118,1482.07439176428,717.892728051822,453.471136601097,469.342111752886,00851,75108,750411,7510830,H,2083.35724329301,467.717769009831,1251.75512172374,363.884352559445,1639.54232239413,151.481333128747,443.814920898883,0.7869712828523954,0.07271020542272029,75108,263.15082189411663
2020-1425152,2020-07-22,1.0,75108,167.0,280.0,7.0,sols,3500000.0,48.877118,2.298671,0,1,75,1,0,2020,3,2020_Q3,POINT (2.298671 48.877118),28533.0,['MÃ©tropole du Grand Paris'],751083001,Faubourg du Roule ,faubourg du roule 1,12500.0,7,10888.850711343604,6035.339955297883,130,4,1420.0,946.0,287.0,187.0,6.0,1388.0,374.0,498.0,46810,0,0,1432.49426560866,876.958214249622,473.31647160684,281.838251140648,186.273899858105,00851,75108,750411,7510830,H,1420.67428741408,350.294539167519,841.000388055386,229.379360191174,1008.55268259387,94.4611766147181,412.121604820207,0.7099112664519632,0.06649038238501304,75108,368.99149920135284
2021-1597134,2021-12-16,1.0,75103,0.0,139.0,6.0,0,2051090.0,48.857703,2.361578,2,1,75,1,0,2021,4,2021_Q4,POINT (2.361578 48.857703),28530.0,['MÃ©tropole du Grand Paris'],751031103,Les Archives ,les archives 3,14756.043165467627,12,15192.775349413932,1907.0197836544407,121,5,1314.0,956.0,267.0,91.0,1.0,1301.0,351.0,560.0,36490,1,0,1317.49215014134,902.931309953704,347.921922675475,291.150974005576,316.907602119541,00851,75103,750081,7510311,H,1044.29739186404,162.223462329452,703.265924535126,178.808004999462,834.856194342675,96.8290998883854,209.441197521365,0.7994429564288017,0.09272176742254265,75103,465.4380026431288
2019-1503024,2019-06-19,1.0,75108,0.0,120.0,4.0,0,1950025.0,48.876187,2.315302,1,1,75,1,0,2019,2,2019_Q2,POINT (2.315302 48.876187),28534.0,['MÃ©tropole du Grand Paris'],751083202,Europe ,europe 2,16250.208333333334,6,11958.014550037038,4789.056022535812,117,7,1205.0,974.0,146.0,84.0,14.0,1165.0,371.0,521.0,48830,0,0,1211.49408519988,899.997134839711,291.167424322679,387.829414927496,296.03206895058,00851,75108,750421,7510832,H,1287.71654843387,241.993054733244,799.348271568978,246.37522213165,1023.35269988544,72.3420882342903,264.36384854843,0.79470338494139,0.05617858085482652,75108,276.0214492265694
2020-1427333,2020-05-29,1.0,75107,0.0,254.0,6.0,0,4200000.0,48.855839,2.327265,4,1,75,1,0,2020,2,2020_Q2,POINT (2.327265 48.855839),14572.0,['MÃ©tropole du Grand Paris'],751072506,Saint-Thomas d'Aquin ,saint-thomas d'aquin 6,16535.43307086614,5,16253.823185294965,6825.515023586565,248,14,2452.0,1389.0,838.0,224.0,21.0,2374.0,641.0,617.0,42870,1,1,2432.99808084028,1227.49737493257,242.253676262447,557.757757749075,553.572757995377,00851,75107,750301,7510725,H,1367.66502203923,330.972265527222,714.47089111142,322.221865400586,1031.75480242366,110.719626563751,335.910219615569,0.7543914524371489,0.08095522279180957,75107,124.47270166734315
2022-533162,2022-05-18,1.0,75106,0.0,70.0,3.0,0,1160000.0,48.852281,2.333975,1,1,75,1,0,2022,2,2022_Q2,POINT (2.333975 48.852281),35930.0,['MÃ©tropole du Grand Paris'],751062203,OdÃ©on ,odÃ©on 3,16571.428571428572,5,16084.424339144429,2765.2731894191784,198,9,2048.0,1342.0,609.0,97.0,6.0,2014.0,450.0,781.0,35240,0,0,2053.34287948786,1206.53324641285,119.47997758701,447.046512449251,771.749871873696,00851,75106,750241,7510622,H,1631.34572998153,447.576734130917,971.228923681972,212.540072168639,1172.62612561472,111.371635983699,458.719604366804,0.7188090814005419,0.06826979342077288,75106,120.78576349222855
2018-1394524,2018-09-21,1.0,75107,0.0,119.0,2.0,0,2000000.0,48.852889,2.314094,2,1,75,1,0,2018,3,2018_Q3,POINT (2.314094 48.852889),23551.0,['MÃ©tropole du Grand Paris'],751072705,Ãcole Militaire ,Ã©cole militaire 5,16806.722689075632,9,12774.333774555775,6253.2901182490195,124,6,1407.0,945.0,318.0,144.0,0.0,1375.0,549.0,316.0,54760,0,0,1400.99870452567,799.202137396621,332.974416764424,320.050090090566,264.067656386308,00851,75107,750331,7510727,H,957.925534118953,191.863512495624,555.760102558459,210.301919064871,668.008126235348,54.6303578018199,289.917407883605,0.6973487003347759,0.057029858643517506,75107,114.18033724741422
2018-1392948,2018-04-25,1.0,75107,0.0,158.0,3.0,0,4570000.0,48.858553,2.317053,1,1,75,1,1,2018,2,2018_Q2,POINT (2.317053 48.858553),34688.0,['MÃ©tropole du Grand Paris'],751072602,Invalides ,invalides 2,28924.050632911392,4,22055.075663593125,15006.015833637153,133,7,1050.0,643.0,299.0,108.0,18.0,1021.0,222.0,328.0,46600,0,0,1047.49911617643,587.97832436591,377.253926614042,103.847436642365,144.575005870185,00851,75107,750291,7510726,H,775.34334293556,186.755816833722,432.280031433128,156.30749466871,578.604647523003,84.31437639864,196.738695412558,0.7462560332720773,0.10874456738019286,75107,160.33564181247237
2019-1505016,2019-01-25,1.0,75107,0.0,545.0,8.0,0,15900000.0,48.858553,2.317053,1,1,75,1,0,2019,1,2019_Q1,POINT (2.317053 48.858553),34688.0,['MÃ©tropole du Grand Paris'],751072602,Invalides ,invalides 2,29174.311926605504,1,23553.878572134214,16122.983155839875,133,6,1050.0,643.0,299.0,108.0,18.0,1021.0,222.0,328.0,46600,0,0,1047.49911617643,587.97832436591,377.253926614042,103.847436642365,144.575005870185,00851,75107,750291,7510726,H,775.34334293556,186.755816833722,432.280031433128,156.30749466871,578.604647523003,84.31437639864,196.738695412558,0.7462560332720773,0.10874456738019286,75107,160.33564181247237
2021-1608843,2021-10-21,1.0,75106,0.0,338.0,8.0,0,7931000.0,48.844896,2.331897,3,1,75,1,0,2021,4,2021_Q4,POINT (2.331897 48.844896),30874.0,['MÃ©tropole du Grand Paris'],751062303,Notre-Dame des Champs ,notre-dame des champs 3,23464.49704142012,10,17265.367600896894,7070.240333213318,123,7,1377.0,973.0,313.0,92.0,12.0,1335.0,477.0,431.0,40870,1,1,1371.04776115193,906.316066829298,495.700951111966,205.968166240098,266.369164256123,00851,75106,750251,7510623,H,1076.64649802308,316.808194724401,564.311141079005,195.527162219677,707.997481069978,64.7741231545976,368.649016953105,0.6575951181469414,0.06016285129198371,75106,222.83731399097965
